,minority_size,tp,fp,tn,fn,tpr,tnr,roc_auc,geometric_mean,arithmetic_mean,f1_score,precision,layers,method
545,0.002,1329,653818,227,0,1.0,0.00034700000000000003,0.998828,0.01863,0.500174,0.0040490000000000005,0.002029,4,baseline
546,0.002,1323,638329,15716,6,0.9954850000000001,0.024029,0.9903709999999999,0.154662,0.509757,0.004128,0.002068,4,baseline
547,0.002,1329,653247,798,0,1.0,0.00122,0.998843,0.03493,0.50061,0.004052,0.00203,4,baseline
548,0.002,1324,625511,28534,5,0.996238,0.043627,0.9904440000000001,0.208477,0.519932,0.004215,0.002112,4,baseline
549,0.002,1329,653907,138,0,1.0,0.00021099999999999998,0.998567,0.014525999999999999,0.500105,0.0040479999999999995,0.0020280000000000003,4,baseline
550,0.002,1329,653974,71,0,1.0,0.000109,0.9993350000000001,0.010419,0.500054,0.0040479999999999995,0.0020280000000000003,4,baseline
551,0.002,1329,653905,140,0,1.0,0.00021400000000000002,0.998659,0.014631,0.500107,0.0040479999999999995,0.0020280000000000003,4,baseline
552,0.002,1326,647194,6851,3,0.997743,0.010475,0.992149,0.10223099999999999,0.504109,0.004081,0.002045,4,baseline
553,0.002,1323,636240,17805,6,0.9954850000000001,0.027223,0.99155,0.16462100000000002,0.511354,0.004142,0.002075,4,baseline
554,0.002,1328,650343,3702,1,0.9992479999999999,0.00566,0.992382,0.075206,0.502454,0.004067,0.002038,4,baseline
555,0.002,1325,644456,9589,4,0.9969899999999999,0.014661000000000002,0.988721,0.120901,0.505826,0.0040950000000000005,0.002052,4,baseline
556,0.002,1329,652231,1814,0,1.0,0.002774,0.992403,0.052663999999999996,0.501387,0.004059,0.0020329999999999997,4,baseline
